BHK,Bathroom,Parking,Area,Per_Sqft,Furnishing,Status,Transaction,Type,Locality,Price
1,1,1,450,4444,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,2000000
2,2,1,75,40000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,3000000
2,1,1,270,5185,Semi-Furnished,Ready_to_move,Resale,Apartment,Budh Vihar Phase 1,1400000
2,1,1,500,4000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar Phase 1,2000000
2,2,1,444,4000,Unfurnished,Ready_to_move,Resale,Apartment,Budh Vihar Phase 1,2000000
1,1,1,400,4000,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,2000000
3,4,1,729,3567,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,2600000
6,3,1,4050,1259,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar Phase 1,5100000
6,4,1,2400,2500,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar Phase 2,6000000
2,2,1,450,2500,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,4000000
2,3,1,405,2500,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar Phase 2,6200000
1,2,1,666,5255,Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar Phase 1,3500000
2,2,1,1000,5255,Semi-Furnished,Ready_to_move,Resale,Apartment,"Saptrishi Apartment, Rohini Sector 23",7600000
4,3,1,1360,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 24,13500000
4,3,1,1550,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 24,12500000
3,2,1,850,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,6500000
4,4,2,2170,5255,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,22000000
3,2,1,720,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,6000000
3,2,1,850,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,7300000
3,2,1,950,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,7600000
4,4,1,2300,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 23,20000000
4,4,1,1300,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 22,15000000
3,2,1,1100,5255,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 20,6200000
3,2,1,1030,5255,Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 20,6200000
1,1,1,350,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Rohini ( 1 km from Shahbad Dairy, Rohini)",2300000
2,2,1,750,6667,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",5000000
2,2,1,720,6528,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",4700000
2,2,1,800,6875,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",5500000
1,1,1,350,5714,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",2000000
3,2,1,980,7449,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",7300000
4,3,1,1600,8125,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",13000000
3,3,1,1450,7931,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",11500000
2,2,1,445,7931,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",2800000
1,1,1,380,5789,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",2200000
2,2,1,680,6471,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",4400000
3,3,1,1600,8438,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",13500000
2,2,1,630,6508,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",4100000
3,2,1,1500,8000,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",12000000
2,2,1,550,6364,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",3500000
4,3,1,2500,6000,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",15000000
5,4,1,2800,6250,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",17500000
1,1,1,300,6333,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",1900000
3,2,1,800,6875,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",5500000
3,2,1,1295,6875,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",10000000
3,2,1,700,6714,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",4700000
1,1,1,350,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",2400000
2,2,1,450,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",3800000
4,4,1,2200,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",23000000
4,4,1,2300,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",24500000
3,2,1,1150,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",10000000
3,2,1,800,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",5500000
3,2,1,850,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",7000000
3,2,1,720,6714,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"J R Designers Floors, Rohini Sector 24",6500000
5,4,1,4688,28797,Unfurnished,Almost_ready,New_Property,Apartment,"The Leela Sky Villas, Patel Nagar",135000000
2,2,1,750,6667,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",5000000
4,4,1,3901,23840,Unfurnished,Almost_ready,New_Property,Apartment,"The Leela Sky Villas, Patel Nagar",93000000
3,2,1,950,4600,Furnished,Ready_to_move,New_Property,Apartment,"Uttam Nagar Floors, Uttam Nagar",4370000
3,2,1,1000,4620,Unfurnished,Ready_to_move,New_Property,Apartment,"Virat Residency, Dwarka Mor",4620000
